taxa,20230322_PROUMED_BC33,20230322_PROUMED_BC61,20230322_PROUMED_BC32,20230322_PROUMED_BC65,20230322_PROUMED_BC46,20230322_PROUMED_BC66,20230322_PROUMED_BC31,20230322_PROUMED_BC44,20230322_PROUMED_BC34,20230322_PROUMED_BC39,20230322_PROUMED_BC47,20230322_PROUMED_BC67,20230322_PROUMED_BC69,20230322_PROUMED_BC62,20230322_PROUMED_BC60,20230322_PROUMED_BC54,20230322_PROUMED_BC68,20230322_PROUMED_BC40,20230322_PROUMED_BC37,20230322_PROUMED_BC58,20230322_PROUMED_BC53,20230322_PROUMED_BC42,20230322_PROUMED_BC38,20230322_PROUMED_BC48,20230322_PROUMED_BC56,20230322_PROUMED_BC59,20230322_PROUMED_BC49,20230322_PROUMED_BC52,20230322_PROUMED_BC43,20230322_PROUMED_BC41,20230322_PROUMED_BC64,20230322_PROUMED_BC51,20230322_PROUMED_BC63,20230322_PROUMED_BC28,20230322_PROUMED_BC50,20230410_PROUMED_BC72,20230410_PROUMED_BC73,20230424_ST_BC44,20230424_ST_BC45,20230328_PROUMED_BC31,20230328_PROUMED_BC24,20230328_PROUMED_BC25,20230328_PROUMED_BC23,20230328_PROUMED_BC30,20230328_PROUMED_BC29,20230328_PROUMED_BC26,20230328_PROUMED_BC27,20230328_PROUMED_BC22,20230328_PROUMED_BC21,20230328_PROUMED_BC28,20230322_ST_BC16,20230322_ST_BC15,20230322_ST_BC14,20230322_ST_BC01,20230322_ST_BC24,20230322_ST_BC25,20230322_ST_BC05,20230322_ST_BC08,20230322_ST_BC11,20230322_ST_BC04,20230322_ST_BC19,20230322_ST_BC02,20230322_ST_BC17,20230322_ST_BC09,20230322_ST_BC18,20230322_ST_BC06,20230322_ST_BC03,20230322_ST_BC12,20230322_ST_BC26,20230322_ST_BC07,20230322_ST_BC20,20230322_ST_BC10,20230322_ST_BC21,20230315_ST_BC43,20230227_PROUMED_BC10,20230227_PROUMED_BC12,20230227_PROUMED_BC11,20230227_PROUMED_BC14,20230227_PROUMED_BC13,20230307_ST_BC72,20230307_ST_BC68,20230307_ST_BC77,20230307_ST_BC73,20230307_ST_BC85,20230307_ST_BC74,20230307_ST_BC60,20230307_ST_BC62,20230307_ST_BC70,20230307_ST_BC75,20230307_ST_BC56,20230307_ST_BC57,20230307_ST_BC82,20230307_ST_BC55,20230307_ST_BC76,20230307_ST_BC78,20230307_ST_BC58,20230307_ST_BC65,20230307_ST_BC80,20230307_ST_BC81,20230307_ST_BC86,20230307_ST_BC79,20230307_ST_BC61,20230307_ST_BC67,20230307_ST_BC59,20230307_ST_BC66,20230307_ST_BC71,20230307_ST_BC83,20230307_ST_BC64,20230307_ST_BC63,20230307_ST_BC69,20230131_ST_BC49,20230131_ST_BC60,20230131_ST_BC50,20230131_ST_BC56,20230131_ST_BC57,20230131_ST_BC46,20230131_ST_BC55,20230131_ST_BC52,20230131_ST_BC53,20230131_ST_BC44,20230131_ST_BC58,20230131_ST_BC42,20230131_ST_BC43,20230131_ST_BC47,20230131_ST_BC51,20230131_ST_BC59,20230131_ST_BC54,20230131_ST_BC48,20230131_ST_BC45,20230201_PROUMED_BC34,20230201_PROUMED_BC32,20230201_PROUMED_BC11,20230201_PROUMED_BC40,20230201_PROUMED_BC04,20230201_PROUMED_BC29,20230201_PROUMED_BC47,20230201_PROUMED_BC33,20230201_PROUMED_BC48,20230201_PROUMED_BC45,20230201_PROUMED_BC09,20230215_PROUMED_BC26,20230215_PROUMED_BC15,20230215_PROUMED_BC28,20230215_PROUMED_BC40,20230215_PROUMED_BC39,20230215_PROUMED_BC35,20230215_PROUMED_BC13,20230131_NURI_BC26,20230131_NURI_BC18,20230131_NURI_BC25,20230131_NURI_BC05,20230131_NURI_BC36,20230131_NURI_BC20,20230131_NURI_BC02,20230131_NURI_BC16,20230131_NURI_BC03,20230131_NURI_BC10,20230131_NURI_BC32,20230131_NURI_BC12,20230131_NURI_BC21,20230131_NURI_BC07,20230131_NURI_BC38,20230131_NURI_BC24,20230131_NURI_BC39,20230131_NURI_BC23,20230131_NURI_BC35,20230131_NURI_BC01,20230131_NURI_BC27,20230131_NURI_BC29,20230131_NURI_BC19,20230131_NURI_BC22,20230131_NURI_BC30,20230131_NURI_BC08,20230131_NURI_BC14,20230131_NURI_BC13
diversity,1.956643846,2.162518062,2.279347413,1.908386122,1.787457253,3.180312092,2.470811853,2.478154303,2.217124405,2.333054434,2.746127516,2.787009009,2.541339927,3.65408685,2.005065107,1.87583729,2.527111769,2.835680216,1.450884837,1.391759246,1.618038914,2.117130284,2.54495214,2.28542382,2.443723584,1.802247594,1.884881904,2.565584272,3.426090644,1.98040469,1.704447159,1.783835437,3.019378342,2.284655904,1.567782486,2.134217265,2.353488573,2.056037248,2.226921033,1.978824549,3.082913412,1.933309956,2.603377124,1.946797999,2.487522547,2.656132764,2.350373486,2.127973895,1.863676353,3.026334215,1.936344856,2.356280129,2.499153294,2.57107886,1.915999119,3.32460071,2.772752859,2.153191834,1.449690068,2.858930825,2.276728141,2.553175202,3.020673879,2.761517985,2.023996131,2.76499781,2.520101185,2.662727926,2.686127021,1.919667287,2.507281141,2.858180192,2.346325492,2.801788566,1.943376229,2.572732681,1.95876345,2.839958686,2.753038786,2.466377418,1.305223223,2.921626792,2.200553715,1.206500607,2.187107455,2.295332708,3.257920225,2.353966382,2.448334961,1.595355954,2.254064772,2.525216608,2.159781838,2.105224658,2.839902602,2.662041804,2.695928758,1.321288631,2.630803411,1.88249634,2.353577778,3.258304687,2.718200667,2.09359066,3.322850011,2.452265966,1.214086092,2.19323116,1.995053108,2.844241269,1.86101665,1.872508468,1.204401774,1.730605606,2.494397363,1.928244045,2.544717952,2.143290923,1.110301724,1.991472897,1.819341722,1.980333696,3.335239624,2.385761709,2.998095499,1.656467735,2.51558978,2.641218526,2.381801183,1.926396978,2.824992738,2.325179694,2.850968133,1.982485564,2.396621156,2.266209328,3.229072805,2.559754237,2.98897975,3.157101241,2.287494107,2.079037696,2.711267782,1.731238145,3.022534413,2.25295691,2.315864573,2.373054629,1.853211629,2.366002688,3.200478628,2.80790494,2.433837675,2.568986973,2.558311127,2.727880519,3.047668085,1.959814634,2.425357899,2.616048751,2.084980127,2.433918122,1.972188059,2.606532721,2.699182906,2.915258062,2.013415045,2.678264678,2.655563428,2.966931021,2.645633435,2.553406261,2.855159934,1.274613539,2.555008484
observed,138,86,98,93,94,154,139,188,83,109,174,133,108,205,97,81,102,117,163,109,115,125,117,84,136,83,103,110,220,77,72,67,191,80,96,150,106,77,79,70,112,56,128,79,94,98,108,66,60,127,83,76,93,90,88,182,100,93,97,117,80,104,157,138,112,139,100,138,131,94,116,120,92,126,87,47,103,125,90,96,50,133,56,86,79,75,135,105,86,51,75,72,76,61,145,85,113,111,93,84,75,158,94,87,148,66,79,60,47,141,66,52,44,55,61,45,55,49,38,52,45,87,119,57,124,43,68,66,48,98,140,118,202,195,125,93,220,152,157,273,118,144,107,88,147,127,112,84,68,63,143,110,87,78,71,82,157,93,80,78,67,96,64,103,92,94,83,77,87,97,77,65,101,67,87
c__Acidimicrobiia,0.0000389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c__Actinobacteria,0.009129759,0.000123574,0.002424298,0.000198682,0.003569361,0,0.002199923,0.00094162,0.000136482,0.365027694,0.001290259,0.002232208,0.000186376,0.000757755,0.000490004,0.00045798,0,0.000700458,0.001977658,0.00218115,0.002539243,0.251749664,0.02163161,0.000231717,0.000196754,0.0000629,0.000427113,0.000592505,0.041762686,0.115638546,0.000213117,0.000186785,0.000270908,0.0000739,0.002677874,0.002768318,0.001793186,0.004746758,0.000599431,0.000115088,0.006063214,0.0000878,0.001021876,0.0000901,0.0000753,0.000355268,0.000137448,0.00013595,0.000178915,0.0000966,0.00014823,0.001039103,0.000485113,0.000211909,0.000433628,0.001643263,0.00017302,0.000106923,0.000656168,0.000919428,0.000302742,0.000259952,0.000721356,0.000714213,0.000278048,0.000168933,0.000089,0.000192025,0.007059044,0.000270563,0.000519784,0.002149204,0.0000986,9.74596E-05,0.035180364,4.8605E-05,0.000305795,0.000108648,0,0.000418841,6.82408E-05,3.3456E-05,3.32237E-05,0.000794332,0.000698125,5.99071E-05,0.000494424,0.000413345,0.000320585,0.000276898,0.035648371,0.000285902,0,5.12361E-05,0.000169446,0.017221511,0.000237342,0.000689465,0.000618009,3.26819E-05,8.01325E-05,9.55049E-05,0.005818118,0.000286722,0.000865747,0,4.97971E-05,7.09824E-05,7.12945E-05,6.19169E-05,0.000823452,0.000443721,0.00032281,4.72858E-05,0,0.000793357,0,5.05229E-05,0.000847126,0,6.41067E-05,0.001661774,6.87616E-05,7.49344E-05,0,0,5.15066E-05,0,0,0.004810215,6.03512E-05,0.000125731,0.000108696,0.001318943,3.94999E-05,5.97967E-05,0.009528557,0.000291254,0.000147639,0.000291393,0.000976286,0.001904185,0.000240356,0.000171974,0.000504575,0.001120727,0.000182793,0.000324491,0.000586281,0,8.23045E-05,0,6.52358E-05,0,7.04275E-05,0.022177092,0.000169434,0.001426904,0.000252477,0,0.00212248,0.011815801,0.003706804,0,0,0.000109206,0,0,6.35042E-05,0,0,0,0.000176554,6.43832E-05,0
c__Bacilli,0.108663559,0.504098529,0.202771933,0.067088314,0.0062705,0.057022885,0.125627171,0.071071809,0.012374323,0.072101837,0.015631979,0.08757791,0.019693722,0.104049254,0.003430027,0.068849706,0.009886268,0.246274834,0.012453899,0.004419699,0.006463527,0.009219381,0.083482798,0.015339698,0.12588949,0.533484319,0.016102165,0.169937787,0.022997696,0.299833278,0.43587831,0.042213402,0.053872054,0.022110478,0.122959051,0.295550917,0.179342499,0.18830438,0.017233628,0.217171136,0.042833672,0.272204417,0.157595943,0.176096096,0.043245888,0.092369636,0.11270703,0.400371596,0.38484591,0.076443886,0.044543265,0.066393218,0.091019344,0.164159073,0.401322565,0.156856887,0.137608859,0.063886661,0.016225245,0.074780104,0.182077675,0.064839572,0.046327095,0.024385267,0.00926827,0.060506236,0.028024911,0.099980798,0.062923659,0.006268038,0.225391463,0.061169663,0.049745359,0.121889416,0.155076237,0.214542627,0.124509454,0.103487614,0.066570288,0.001739803,0.235055275,0.071729675,0.00026579,0.774632224,0.14333767,0.218151865,0.116299511,0.036581045,0.090469015,0.574593114,0.010138295,0.24444635,0.090480948,0.077366466,0.025804265,0.012003841,0.051186709,0.037024269,0.005778382,0.007876332,0.085928736,0.062141857,0.02781879,0.066118072,0.112423474,0.095977322,0.025446306,0.175787905,0.00812757,0.110253447,0.137790953,0.001774885,0.014978372,0.003451863,0.145339652,0.003332099,0.136422487,0.018289294,0.049068161,0.020269499,0.002564267,0.093557857,0.040019253,0.046908955,0.192644874,0.01597854,0.026268349,0.127815025,0.036675462,0.010495015,0.072522078,0.066343958,0.073138587,0.569301244,0.012363478,0.044488738,0.051668935,0.09563535,0.073924873,0.071786866,0.071678267,0.084649673,0.083313304,0.532546075,0.242565931,0.037544362,0.064008043,0.097834023,0.043287082,0.044275033,0.129135802,0.113562788,0.066866723,0.038879535,0.094865836,0.132656377,0.118858014,0.016603969,0.071135517,0.047059825,0.043198702,0.136360733,0.15102236,0.062612294,0.044731846,0.143715191,0.098797453,0.070544666,0.060138439,0.110303188,0.269849882,0.076767316,0.234021893,0.73474118,0.111636045
c__Bacteroidia,0.646153846,0.00197718,0.593358339,0.617901255,0.747925912,0.58278396,0.092975685,0.459264718,0.657522406,0.348411233,0.636792219,0.476532831,0.53722859,0.577172626,0.177838756,0.622929547,0.251818511,0.188741722,0.767651932,0.795718058,0.862419206,0.522880215,0.651883255,0.787468718,0.026004263,0.009373722,0.553923034,0.47826248,0.357757607,0.371857286,0.001385263,0.636749942,0.367583885,0.543962139,0.662327519,0.526705482,0.549025702,0.003229753,0.370048454,0.584704799,0.536105461,0.246915748,0.236734539,0.481021021,0.566675449,0.616705483,0.373445124,0.000634432,0.000626202,0.516805099,0.256179359,0.175663112,0.517979504,0.172070354,0.2429942,0.485733493,0.510006344,0.504731355,0.839835361,0.487480462,0.042383877,0.339646465,0.505550435,0.464442404,0.62630335,0.464566264,0.637188612,0.578762082,0.334720209,0.5813943,0.275875512,0.430378177,0.32114342,0.564063414,0.556638155,0.224944104,0.638142806,0.55720339,0.333057965,0.427282686,0.001023611,0.452091,0.570118609,0.000826105,0.000349062,0.168908192,0.307641598,0.608030706,0.078254737,0.000307664,0.571461078,0.257397719,0.625541126,0.436044575,0.631066786,0.495390525,0.675316456,0.688241175,0.465916816,0.000947774,0.214487953,0.462148224,0.327758855,0.568110789,0.269030981,0.330656048,0.001344521,0.000319421,0.292402386,0.569285066,0.075867369,0.435586452,0.038349797,0.461698506,0.289691943,0.54392553,0.39427598,0.51977972,0.86986837,0.468253968,0.408487724,0.609926328,0.625868115,0.269389284,0.432169391,0.496909261,0.300437806,0.386195633,0.51701847,0.101626727,0.527107767,0.013432242,0.53,0.268936762,0.275808267,0.500617899,0.383864721,0.491740867,0.578048215,0.444125299,0.359304633,0.650841736,0.347314025,0.214996131,0.036363025,0.445862649,0.462953936,0.61345015,0.683310534,0.627987099,0.563045267,0.420088601,0.629199556,0.555028318,0.559757729,0.240454915,0.645120298,0.771176547,0.522502051,0.434856608,0.767401211,0.338379,0.528996771,0.454619698,0.244482677,0.307360489,0.647547748,0.50149038,0.563154887,0.466013114,0.36022186,0.426716693,0.36970339,0.009142416,0.565296005
c__Campylobacteria,0.0003885,0,0,0.004371006,0,0.000084,0.000192976,0.003930238,0,0.000145758,0,0.000782722,0,0.0000474,0.0000327,0,0.001486959,0.000955171,0.003153562,0.008552405,0,0,0,0,0,0,0.0000854,0.000185158,0.014485256,0,0,0,0.001044932,0.0000739,0,0.000351532,0,0.000685099,0,0,0.0000391,0,0,0,0.00052693,0,0,0,0,0,0,0,0,0.000141273,0,0.000336122,0,0,0,0.000275828,0.0000432,0,0.000280527,0.00010203,0.000741462,0,0.001067616,0,0.000794727,0,0,0.002686505,0,0,0,0,0,0,0.00034421,0.006475933,0.000170602,0,0.00089704,3.17733E-05,0.003554089,0.000119814,0.0054936,0.026926484,0,3.07664E-05,0.00179506,0.001143609,0.000808715,0.016702959,0.046065213,0.001056338,0,0,0,0,2.67108E-05,0.00531644,1.46184E-05,0.003956762,0.003308392,0.05912527,0,0.002910278,2.37648E-05,0.000165112,0.000548968,0.001479071,0.000581058,4.72858E-05,0.002632965,0,0,0.016773607,0.00091229,5.70972E-05,0,0.000886279,0.000825139,0.052678906,0.005794948,0.002274318,0.008189544,0.00017191,0.001583113,0.000196782,0.000160937,2.09551E-05,6.79348E-05,0,0.000967748,0.000119593,0.000460132,8.32154E-05,0.000105456,0.000228952,0.000535382,0.000216385,0.005588271,2.86623E-05,0,0,0.000670241,8.11227E-05,9.77135E-05,0.000952939,8.23045E-05,8.51934E-05,0.00593646,0.000765345,0.000140855,0,0.000169434,0.000129719,0.01376002,0.000340397,0,0.001085776,0,0.000326673,0.000711913,0.000163809,0.000589484,0.001264565,0,0.000129845,0.001446916,0.00041689,0,0,0.000174978
c__Clostridia,0.037839938,0.373769411,0.141066691,0.271730852,0.10852788,0.214444678,0.418023929,0.284901335,0.253901096,0.10708386,0.101930425,0.162545296,0.287857609,0.215770779,0.264602117,0.019540493,0.309126713,0.175241977,0.040248009,0.085294455,0.10734072,0.057604307,0.086145986,0.178098063,0.521462535,0.254191438,0.08384231,0.119648941,0.39618116,0.129176392,0.492194576,0.027877656,0.145671272,0.089033498,0.080373415,0.066637372,0.06376569,0.202936139,0.3493681,0.136149154,0.140470975,0.249549985,0.164900462,0.313213213,0.113327562,0.094698614,0.068311456,0.430960257,0.350002236,0.143084798,0.12573652,0.242986054,0.153356376,0.472769655,0.133991002,0.138071407,0.105023358,0.14365143,0.106955381,0.141132122,0.32341493,0.217914439,0.1378191,0.369911234,0.183650772,0.16355548,0.190302491,0.09812456,0.17469964,0.186462843,0.116951465,0.127175036,0.183768687,0.063218764,0.252361473,0.491396909,0.146424749,0.225608431,0.21650833,0.132966042,0.762522178,0.21130813,0.06950397,0.171988689,0.690381747,0.197004643,0.226693402,0.08807204,0.304106691,0.414823247,0.135413243,0.332018183,0.054350411,0.245676957,0.099876546,0.26049936,0.144936709,0.12382791,0.342438663,0.229557487,0.275709172,0.154367758,0.299501513,0.025145511,0.49245563,0.214531587,0.195827005,0.277825099,0.197271798,0.168331545,0.169301713,0.191145294,0.061204726,0.076366559,0.147248552,0.103347966,0.146303237,0.053655333,0.001107781,0.251170492,0.093723957,0.105744198,0.175960943,0.475683777,0.132020802,0.102985771,0.100283286,0.183599794,0.214182058,0.33135823,0.196483534,0.255966975,0.167391304,0.07804456,0.269251279,0.258461232,0.203704059,0.203191312,0.103684643,0.239254865,0.10884011,0.111914139,0.149320995,0.005359856,0.706202906,0.173121225,0.138861808,0.08055488,0.105335157,0.099618824,0.119835391,0.211875958,0.146519669,0.086330935,0.1326854,0.424045491,0.112588953,0.179530419,0.159755097,0.230873968,0.073974655,0.091843904,0.046633983,0.209179507,0.420087803,0.24658731,0.050106107,0.148586397,0.132914206,0.162241122,0.142340387,0.17884581,0.106197034,0.161022405,0.094371537
c__Coriobacteriia,0.001359751,0.0000824,0.007867533,0.001457002,0.001157631,0.001763594,0.001119259,0.006181937,0.000454938,0.001117481,0.003374522,0.001217568,0.002547138,0.000805115,0.011923429,0.00045798,0.004460877,0.000222873,0.000534502,0.001721961,0.00023084,0.000370121,0.000489157,0.000463435,0.0000984,0.002925356,0.000128134,0.001259073,0.014955557,0.000333444,0.0000533,0.000140089,0.003792716,0.0000739,0.00096701,0.0000879,0,0,0.000349668,0.001265968,0.010874668,0.005663608,0.002649307,0.001801802,0.002371184,0.0000789,0.0000687,0.0000453,0.0000895,0.001497006,0.002742264,0.000437517,0.001152144,0.000282546,0.001192477,0.000933672,0.000461388,0.000534616,0.000119303,0.001501732,0.003157166,0.0000743,0.000801507,0.001683502,0.001297558,0.002196131,0.002135231,0.000640082,0.014492076,0.001082251,0.000389838,0.000661294,0.001314276,0.000942109,0.000297508,0,0.00096835,0.001195133,0.002960209,0.001449836,0,0.011542322,0.001129606,0,3.17329E-05,0.001347911,0.001675548,0.001210511,0.001699099,0,0.003741815,0,0.001569859,0.007813501,0.001960737,0.003521127,0.001542722,0.001637479,0.010784253,0.005915419,0.023452107,0.003724691,0.004370898,0.001548298,0.033825985,0.008268089,2.48985E-05,0,0.008983103,0.00202262,5.48968E-05,0.010550707,0.011169217,0.004492151,0.000921538,0.002591633,0.001362862,0.004193402,0,5.70972E-05,0.017757549,0.000997064,0.013133466,7.49344E-05,0.002451709,0,0.004738604,0.004211793,0.000659631,0.013752842,0.001025971,0.000230506,0.000733696,0.002212421,0.00543124,0,0.021741214,0.000291254,0.001181111,0.003517536,0.000220452,0.001947462,0.000450667,0.001404454,0.000100915,0.001245252,0.001584207,0.001216841,0.002247411,0.000366515,0.000658436,0.001363094,0.002739905,7.65345E-05,0.002464962,0.012347685,0.001101322,0.000972889,0.001577984,0.001191388,0.000624259,0.003768283,0.002152338,0.002450046,0.00450878,0.000655236,0.000943174,0.001535543,0.002603671,0.000714147,0.004883342,0.000893336,0.000529661,6.43832E-05,0.00058326
c__Desulfitobacteriia,0.000621601,0,0,0,0,0.002267478,0.000115785,0.006345697,0,0.003060927,0.005359536,0.000463835,0,0.012645039,0,0,0,0,0.001336255,0.000918379,0,0,0.001467471,0,0.000327923,0,0,0.000037,0.010440672,0,0,0,0.010217114,0,0.000669469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000121278,0,0,0.0000747,0,0,0,0.0000306,0,0,0,0,0,0.000281555,0,0.00070409,0,0.0000451,0,0,0,0.001786758,0,0,0.001172213,0.004400261,0,0,0,0.005386417,0,0,0,0,0,0,0,0,0,0,0,0,0.001694464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000268307,0,0,0,0,0.000329121,0,0,0,0,0,0,5.53925E-05,6.87616E-05,0,0.017384844,0,0,0,0,2.18646E-05,4.02342E-05,6.28654E-05,0.001358696,0.002240785,3.94999E-05,0,0.006192603,0.000208039,0.001328749,0.004329275,0,8.65539E-05,0,0,0,6.22626E-05,0,0.001054596,0,0,0.005761317,0.004856023,0,0,0,0,0.00084717,0,0.000315597,0,0,0,0,0,0,0.000163809,0,0,0,0.001817828,0,0,0.000706215,0,0.001633129
c__Desulfotomaculia,0.00019425,0,0,0,0,0.000293932,0.000115785,0.001391959,0,0.000437275,0.001042132,0.000144949,0,0.002652143,0,0,0,0,0.000427602,0.000286993,0,0,0.000380455,0,0.0000328,0,0,0.000037,0.003009923,0,0,0,0.002476876,0,0.000185963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000373,0,0,0,0,0,0,0,0,0,0.0000845,0,0.000192025,0.0000467,0,0,0,0,0.000129946,0,0,0.000101932,0.000543242,0,0,0,0.00100368,0,0,0,0,0,0,0,0,0,0,0,0,0.000266273,0,0,0,0,0,0,0,0,0,0.000216437,0,0,0,0,4.1278E-05,0,0,0,0,0.000131648,0,0,0,0,0,0,0,0,0,0.001783061,0,0,0,0,0,0,0,0.000407609,0.000425466,0,0,0.001303706,2.08039E-05,0.000442916,0.001519409,3.14931E-05,0,0,0,0,0,0,0,0,0,0.000493827,0.000425967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000233304
c__Desulfovibrionia,0.000505051,0,0,0,0.000192938,0,0,0.00028658,0,0,0.000248127,0,0,0.001136633,0,0,0,0,0.000801753,0,0,0,0,0,0.000131169,0,0.0000427,0,0.000470301,0,0,0,0.002360772,0,0,0.000022,0,0,0.00019981,0,0,0,0,0,0,0,0,0,0,0,0.0000371,0,0,0,0,0.0000373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.88421E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000371035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00089153,0,0,0,0,0,4.02342E-05,2.09551E-05,0,1.41822E-05,1.975E-05,0,0.000230066,6.24116E-05,0,0.000187324,0,0.000129831,0,0,0,0,3.04655E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c__Fusobacteriia,0.027816628,0.001029781,0.046198884,0.000430478,0.000868223,0.074952761,0.293168661,0.014861213,0.001228334,0.031629579,0.000545879,0.126887955,0.000310627,0.000710395,0.298673723,0.169681704,0.280954869,0.291072338,0.001069004,0.00045919,0.000461681,0.000370121,0.07250394,0.000695152,0.00478767,0.004907049,0.292188101,0.100688787,0.002492593,0.000733578,0.000266397,0.19850572,0.341770192,0.260814908,0.016587942,0.0000879,0.110723252,0.568485442,0.00019981,0.040568535,0.112228133,0.000175616,0.322609946,0.026606607,0.045014867,0.092172265,0.339667377,0.0000453,0.0000895,0.146271972,0.057550491,0.437243642,0.145473288,0.101999011,0.003035395,0.147258739,0.202722187,0.258593959,0.001371988,0.153360508,0.15850705,0.265745692,0.247425159,0.043873074,0.045785254,0.144888363,0.000800712,0.105101453,0.011593661,0.202651515,0.171918654,0.226451746,0.358271727,0.129816126,0,4.8605E-05,0.022424953,0.040851804,0.336362385,0.285972034,3.41204E-05,0.121779859,0.224592179,0.000254186,0.129692508,0.375108582,0.195984178,0.058104517,6.41169E-05,0.000184598,0.111698228,0.000171541,0.056752771,0.171128474,0.082302534,0.110179257,0.077531646,0.000120656,0.016840739,0.451402052,0.012981463,0.115497262,0.148581286,0.024314018,0.011965865,0.171098812,0.750890123,7.09824E-05,0.412604862,0.063072732,0.06884058,0.246511857,0.019110336,0.321779837,0.229331227,0.294758555,0.000136286,0.085888951,0.006386029,5.70972E-05,0.267517149,0.034675677,0.003163034,0.000374672,0.024071322,0.320270585,0.375019315,0.172167784,0.118997361,0.012856393,0.088454807,0.337650091,0.067663043,5.67287E-05,0.276973515,0.000139526,0.036446251,0.006553216,0.121527851,0.099760641,0.290460744,0.012939802,0.320334094,0.206856029,0.000370022,0.325259946,0.167956373,0.046402207,0.02286496,0.080340126,0.0618107,0.069943772,0.034314045,0.211694474,0.054581309,0.00016247,0.031684175,0.001816059,0.149151045,0.151391371,0.045695736,0.000574823,0.2532584,0.128709098,0.148137162,0.10161625,0.01509078,0.151567157,0.117609703,0.123222749,0.047024778,0.214162349,0.174346751,0.001223281,0.106211724
c__Gammaproteobacteria,0.048523699,0.118589612,0.005397493,0.036789298,0.098012734,0.031492757,0.03508298,0.098829117,0.074382421,0.059906715,0.222470349,0.073749819,0.108936725,0.070660668,0.217986411,0.107778032,0.055218422,0.09211029,0.140787856,0.027838365,0.01966759,0.155282638,0.066471004,0.017656873,0.320445975,0.193608254,0.053047452,0.102095986,0.061891549,0.075158386,0.069689381,0.048470698,0.067688378,0.083709236,0.066723695,0.018147863,0.062857143,0.007682897,0.127229132,0.019334791,0.099162885,0.060543531,0.11429869,0.000780781,0.152659114,0.06714562,0.085080063,0.167082068,0.264033636,0.099575043,0.501982583,0.049822259,0.022557759,0.079254079,0.027697978,0.043994622,0.03223946,0.019192729,0.0346576,0.106714886,0.017299542,0.06892454,0.043762273,0.023007856,0.106446082,0.14761945,0.10569395,0.099020675,0.377214716,0.020652958,0.177571308,0.110436041,0.081057992,0.111298811,0.000446263,0.068387285,0.032006524,0.046936115,0.037518932,0.086088021,0.001057732,0.106457009,0.030466128,0.051186731,0.000253863,0.009375468,0.115887491,0.148066135,0.517359664,0.007599299,0.04861831,0.164508105,0.16759431,0.045190214,0.096947544,0.057234315,0.020292722,0.148372863,0.140257092,0.225047389,0.07703403,0.13227429,0.153112986,0.295839665,0.064065302,0.095032397,0.026292857,0.542802385,0.010504052,0.061421613,0.54331357,0.01331164,0.117825554,0.117268772,0.160281727,0.028084836,0.184463373,0.204466225,0.071158608,0.260077652,0.187447913,0.059879244,0.122051846,0.154589734,0.170059435,0.05773268,0.152201906,0.123775142,0.061345646,0.048823684,0.068458428,0.240984053,0.147038043,0.026846875,0.099085577,0.04030297,0.149696121,0.111404677,0.091346255,0.080070767,0.071930211,0.074522872,0.060990266,0.010203789,0.010764263,0.013386464,0.140659274,0.112192748,0.093120969,0.10892831,0.105843621,0.154285227,0.088068367,0.08235114,0.107542785,0.043460601,0.069722128,0.026592295,0.076437543,0.10296996,0.020225982,0.405250048,0.011239986,0.103827517,0.112244898,0.085835972,0.095967932,0.119411074,0.088651807,0.11036811,0.110267077,0.080817104,0.086246469,0.070370847,0.096587927
